Source,Target
Марш!,Go.
Иди.,Go.
Идите.,Go.
Здравствуйте.,Hi.
Привет!,Hi.
Хай.,Hi.
Здрасте.,Hi.
Здоро́во!,Hi.
Приветик!,Hi.
Беги!,Run!
Бегите!,Run!
Беги!,Run.
Бегите!,Run.
Кто?,Who?
Вот это да!,Wow!
Круто!,Wow!
Здорово!,Wow!
Ух ты!,Wow!
Ого!,Wow!
Вах!,Wow!
Пригнись!,Duck!
Огонь!,Fire!
Пожар!,Fire!
Помогите!,Help!
На помощь!,Help!
Спасите!,Help!
Прячься.,Hide.
Прячьтесь.,Hide.
Прыгай!,Jump!
Прыгайте!,Jump!
Прыгай!,Jump.
Прыгайте!,Jump.
Оставайся.,Stay.
Оставайтесь.,Stay.
Останься.,Stay.
Останьтесь.,Stay.
Стой!,Stop!
Остановитесь!,Stop!
Остановись!,Stop!
Подожди!,Wait!
Подождите!,Wait!
Ждите!,Wait!
Жди!,Wait!
Ждите.,Wait.
Подожди.,Wait.
Подождите.,Wait.
Сделай это.,Do it.
Продолжай.,Go on.
Продолжайте.,Go on.
Здравствуйте.,Hello!
Привет!,Hello!
Алло!,Hello!
Приветик!,Hello!
Поспешите.,Hurry!
Я бежал.,I ran.
Я бежала.,I ran.
Я побежал.,I ran.
Я побежала.,I ran.
Понимаю.,I see.
Понятно.,I see.
Вижу.,I see.
Я пытаюсь.,I try.
Я стараюсь.,I try.
Я пробую.,I try.
Я победил!,I won!
Я победила!,I won!
Я выиграл!,I won!
Я выиграла!,I won!
О нет!,Oh no!
Расслабьтесь.,Relax.
Попустись.,Relax.
Расслабься.,Relax.
Стреляй!,Shoot!
Улыбочка.,Smile.
Улыбнитесь.,Smile.
Улыбнись.,Smile.
Улыбайся.,Smile.
Улыбнитесь!,Smile.
Улыбайтесь!,Smile.
Извините?,Sorry?
Извини?,Sorry?
В атаку!,Attack!
Купите её.,Buy it.
Купи его.,Buy it.
Купи это.,Buy it.
Купи её.,Buy it.
Купите его.,Buy it.
Купите это.,Buy it.
За ваше здоровье!,Cheers!
За Ваше здоровье!,Cheers!
Будем!,Cheers!
Ваше здоровье!,Cheers!
Твоё здоровье!,Cheers!
Съешь это.,Eat it.
Съешь его.,Eat it.
Съешьте его.,Eat it.
Съешь её.,Eat it.
Съешьте её.,Eat it.
Съешьте это.,Eat it.
Доедай.,Eat up.
Ни с места!,Freeze!
Никому не двигаться.,Freeze!
Застынь!,Freeze!
Замри!,Freeze!
Вставай.,Get up.
Вставай!,Get up.
Поднимайся.,Get up.
Поднимайтесь.,Get up.
А теперь уходи.,Go now.
Идите сейчас.,Go now.
Поезжайте сейчас.,Go now.
Иди сейчас.,Go now.
Поезжай сейчас.,Go now.
Теперь иди.,Go now.
Теперь идите.,Go now.
Иди уже.,Go now.
Идите уже.,Go now.
Понял!,Got it!
Понял?,Got it?
Усёк?,Got it?
Усекла?,Got it?
Ферштейн?,Got it?
Он бежал.,He ran.
Залезай.,Hop in.
Запрыгивай.,Hop in.
Обними меня.,Hug me.
Обнимите меня.,Hug me.
Я упал.,I fell.
Я упала.,I fell.
Я вяжу.,I knit.
Я знаю.,I know.
Знамо дело.,I know.
Знаю.,I know.
Я ушёл.,I left.
Я ушла.,I left.
Я уехал.,I left.
Я уехала.,I left.
Я солгал.,I lied.
Я соврал.,I lied.
Я проиграл.,I lost.
Я проиграла.,I lost.
Я заплатил.,I paid.
Я заплатила.,I paid.
Я пас.,I pass.
Я увольняюсь.,I quit.
Я плюю.,I spit.
Я плююсь.,I spit.
Я плаваю.,I swim.
Я работаю.,I work.
Мне девятнадцать лет.,I'm 19.
Со мной всё в порядке.,I'm OK.
У меня всё хорошо.,I'm OK.
Я в порядке.,I'm OK.
У меня всё в порядке.,I'm OK.
Я встал.,I'm up.
Я встала.,I'm up.
Слушай!,Listen.
Послушай!,Listen.
Слушай.,Listen.
Слушайте.,Listen.
Послушай.,Listen.
Послушайте.,Listen.
Не может быть!,No way!
Это невозможно!,No way!
Никогда в жизни!,No way!
Быть не может!,No way!
Это исключено!,No way!
Ни в коем случае!,No way!
Ни в коем случае.,No way!
Ни за что!,No way!
Правда?,Really?
"Что, правда?",Really?
Да неужели?,Really?
Да неужто это правда?,Really?
Вот как?,Really?
На самом деле?,Really?
Реально?,Really?
Спасибо.,Thanks!
Благодарю!,Thanks!
Попробуй.,Try it.
Мы спрятались.,We hid.
Мы побежали.,We ran.
Мы пытаемся.,We try.
Мы выиграли.,We won.
Мы победили.,We won.
Почему я?,Why me?
Спроси у Тома.,Ask Tom.
Спросите у Тома.,Ask Tom.
Попроси Тома.,Ask Tom.
